question,answer,source,focus_area
Is Carnitine-acylcarnitine translocase deficiency inherited ?,"How is carnitine-acylcarnitine inherited? Carnitine-acylcarnitine translocase deficiency is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GARD,Carnitine-acylcarnitine translocase deficiency
Is Bowen-Conradi syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,Bowen-Conradi syndrome
What are the treatments for Melnick-Needles syndrome ?,These resources address the diagnosis or management of Melnick-Needles syndrome:  - Gene Review: Gene Review: Otopalatodigital Spectrum Disorders  - Genetic Testing Registry: Melnick-Needles syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Melnick-Needles syndrome
Who is at risk for Heart Failure? ?,"Preventing Heart Failure There are a number of things you can do to reduce the risk for coronary artery disease and heart failure. These things include - keeping your cholesterol levels healthy  - keeping your blood pressure at a normal level  - managing diabetes   - maintaining a healthy weight   - quitting smoking  - limiting the amount of alcohol you drink  - following a heart healthy diet  - limiting the amount of sodium (salt) you consume  - getting regular exercise   - avoiding using illegal drugs. keeping your cholesterol levels healthy keeping your blood pressure at a normal level managing diabetes maintaining a healthy weight quitting smoking limiting the amount of alcohol you drink following a heart healthy diet limiting the amount of sodium (salt) you consume getting regular exercise avoiding using illegal drugs. Keep Your Cholesterol Levels Healthy Keeping your cholesterol levels healthy can help prevent coronary artery disease. Your goal for LDL, or ""bad,"" cholesterol, depends on how many other risk factors you have. Risk factors include - being a cigarette smoker  -  having high blood pressure   -  having low HDL cholesterol  -  being 45 or older if you are a man and 55 or older if you are a woman  -  having a close relative who had coronary artery disease at an earlier-than-usual age (before age 55 for male relatives and before age 65 for female relatives).  being a cigarette smoker having high blood pressure having low HDL cholesterol being 45 or older if you are a man and 55 or older if you are a woman having a close relative who had coronary artery disease at an earlier-than-usual age (before age 55 for male relatives and before age 65 for female relatives). Recommended LDL Cholesterol Goals -  If you don't have coronary heart disease or diabetes and have one or no risk factors, your LDL goal is less than 160 mg/dL.  - If you don't have coronary heart disease or diabetes and have two or more risk factors, your LDL goal is less than 130 mg/dL.  - If you do have coronary heart disease or diabetes, your LDL goal is less than 100 mg/dL.   - The goal for HDL, or ""good,"" cholesterol is above 40 in men and above 50 in women.  - The goal for triglycerides, another fat in the blood, is below 150.  If you don't have coronary heart disease or diabetes and have one or no risk factors, your LDL goal is less than 160 mg/dL. If you don't have coronary heart disease or diabetes and have two or more risk factors, your LDL goal is less than 130 mg/dL. If you do have coronary heart disease or diabetes, your LDL goal is less than 100 mg/dL. The goal for HDL, or ""good,"" cholesterol is above 40 in men and above 50 in women. The goal for triglycerides, another fat in the blood, is below 150. Learn how to control your cholesterol with TLC -- Therapeutic Lifestyle Changes.  Keep Blood Pressure at a Normal Level High blood pressure causes the heart to get larger and work harder, which can then lead to heart failure. You should aim for a blood pressure level of 130/80 or below. Talk to your doctor about ways to lower your blood pressure.  Get tips on how to control your blood pressure.  Manage Diabetes If you have diabetes, its important to manage it properly. Diabetes is characterized by having too much glucose, or sugar, in the blood for a long time. This can cause heart problems because high blood glucose can damage parts of the body such as the heart and blood vessels. This damage weakens the heart, often leading to heart failure. See ways to manage your diabetes every day.  Maintain a Healthy Weight Excess weight puts strain on the heart. Being overweight also increases your risk of heart disease and type 2 diabetes. These diseases can lead to heart failure.  See a sensible approach to weight loss.  Don't Smoke If you smoke, quit. For free help quitting, call a smoking quit line.  See medications to help you quit.  Follow a Heart Healthy Diet Heart-healthy foods include those high in fiber, such as oat bran, oatmeal, whole-grain breads and cereals, fruits, and vegetables. You can also maintain a heart-healthy diet by limiting foods that are high in saturated fat, trans-fat, and cholesterol, such as meats, butter, dairy products with fat, eggs, shortening, lard, and foods with palm oil or coconut oil. For more on healthy eating, see Eating Well As You Get Older. Limit the Amount of Alcohol You Drink In general, healthy men and women over age 65 should not drink more than three drinks a day or a total of seven drinks a week. Learn how alcohol affects you as get older.  Limit the Amount of Sodium Sodium contributes to high blood pressure and fluid retention. Older adults should limit their intake of sodium to1,500 milligrams daily (about 2/3 tsp. of salt).  See ways to cut back on your salt intake.  Get Regular Exericse Studies show that people with heart disease, diabetes, and high blood pressure benefit from regular exercise. In fact, inactive people are nearly twice as likely to develop heart disease as those who are more active. Aim for at least 30 minutes a day of exercise. Check with your doctor before starting any exercise program. For information on exercise and older adults, see  Benefits of Exercise or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging.",NIHSeniorHealth,Heart Failure
Who is at risk for Prostate Cancer? ?,"Avoiding risk factors and increasing protective factors may help prevent cancer.
                    Avoiding cancer risk factors may help prevent certain cancers. Risk factors include smoking, being overweight, and not getting enough exercise. Increasing protective factors such as quitting smoking and exercising may also help prevent some cancers. Talk to your doctor or other health care professional about how you might lower your risk of cancer.
                
                
                    The following risk factors may increase the risk of prostate cancer:
                    Age      Prostate cancer is rare in men younger than 50 years of age. The chance of developing prostate cancer increases as men get older.       Family history of prostate cancer     A man whose father, brother, or son has had prostate cancer has a higher-than-average risk of prostate cancer.       Race     Prostate cancer occurs more often in African-American men than in white men. African-American men with prostate cancer are more likely to die from the disease than white men with prostate cancer.       Hormones    The prostate needs male hormones to work the way it should. The main male sex hormone is testosterone. Testosterone helps the body develop and maintain male sex characteristics.    Testosterone is changed into dihydrotestosterone (DHT) by an enzyme in the body. DHT is important for normal prostate growth but can also cause the prostate to get bigger and may play a part in the development of prostate cancer.       Vitamin E    The Selenium and Vitamin E Cancer Prevention Trial (SELECT) found that vitamin E taken alone increased the risk of prostate cancer. The risk continued even after the men stopped taking vitamin E.       Folic acid    Folate is a kind of vitamin B that occurs naturally in some foods, such as green vegetables, beans and orange juice. Folic acid is a man-made form of folate that is found in vitamin supplements and fortified foods, such as whole-grain breads and cereals. A 10-year study showed that the risk of prostate cancer was increased in men who took 1 milligram (mg) supplements of folic acid. However, the risk of prostate cancer was lower in men who had enough folate in their diets.       Dairy and calcium    A diet high in dairy foods and calcium may cause a small increase in the risk of prostate cancer.
                
                
                    The following protective factors may decrease the risk of prostate cancer:
                    Folate    Folate is a kind of vitamin B that occurs naturally in some foods, such as green vegetables, beans and orange juice. Folic acid is a man-made form of folate that is found in vitamin supplements and fortified foods, such as whole-grain breads and cereals. A 10-year study showed that the risk of prostate cancer was lower in men who had enough folate in their diets. However, the risk of prostate cancer was increased in men who took 1 milligram (mg) supplements of folic acid.       Finasteride and Dutasteride     Finasteride and dutasteride are drugs used to lower the amount of male sex hormones made by the body. These drugs block the enzyme that changes testosterone into dihydrotestosterone (DHT). Higher than normal levels of DHT may play a part in developing prostate cancer. Taking finasteride or dutasteride has been shown to lower the risk for prostate cancer, but it is not known if these drugs lower the risk of death from prostate cancer.    The Prostate Cancer Prevention Trial (PCPT) studied whether the drug finasteride can prevent prostate cancer in healthy men 55 years of age and older. This prevention study showed there were fewer prostate cancers in the group of men that took finasteride compared with the group of men that did not. Also, the men who took finasteride who did have prostate cancer had more aggressive tumors. The number of deaths from prostate cancer was the same in both groups. Men who took finasteride reported more side effects compared with the group of men that did not, including erectile dysfunction, loss of desire for sex, and enlarged breasts.    The Reduction by Dutasteride of Prostate Cancer Events Trial (REDUCE) studied whether the drug dutasteride can prevent prostate cancer in men aged 50 to 75 years at higher risk for the disease. This prevention study showed there were fewer prostate cancers in the group of men who took dutasteride compared with the group of men that did not. The number of less aggressive prostate cancers was lower, but the number of more aggressive prostate cancers was not. Men who took dutasteride reported more side effects than men who did not, including erectile dysfunction, loss of desire for sex, less semen, and gynecomastia (enlarged breasts).
                
                
                    The following have been proven not to affect the risk of prostate cancer, or their effects on prostate cancer risk are not known:
                    Selenium and vitamin E    The Selenium and Vitamin E Cancer Prevention Trial (SELECT) studied whether taking vitamin E and selenium (a mineral) will prevent prostate cancer. The selenium and vitamin E were taken separately or together by healthy men 55 years of age and older (50 years of age and older for African-American men). The study showed that taking selenium alone or selenium and vitamin E together did not decrease the risk of prostate cancer.       Diet    It is not known if decreasing fat or increasing fruits and vegetables in the diet helps decrease the risk of prostate cancer or death from prostate cancer. In the PCPT trial, certain fatty acids increased the risk of high-grade prostate cancer while others decreased the risk of high-grade prostate cancer.       Multivitamins    Regular use of multivitamins has not been proven to increase the risk of early or localized prostate cancer. However, a large study showed an increased risk of advanced prostate cancer among men who took multivitamins more than seven times a week.       Lycopene    Some studies have shown that a diet high in lycopene may be linked to a decreased risk of prostate cancer, but other studies have not. It has not been proven that taking lycopene supplements decreases the risk of prostate cancer.",CancerGov,Prostate Cancer
What is the outlook for Restless Legs Syndrome ?,"RLS is generally a life-long condition for which there is no cure. Symptoms may gradually worsen with age. Nevertheless, current therapies can control the disorder, minimizing symptoms and increasing periods of restful sleep. In addition, some individuals have remissions, periods in which symptoms decrease or disappear for days, weeks, or months, although symptoms usually eventually reappear.",NINDS,Restless Legs Syndrome
What is (are) Pierson syndrome ?,"Pierson syndrome is a very rare condition that mainly affects the kidneys and eyes. Signs and symptoms include congenital nephrotic syndrome and distinct ocular (eye) abnormalities, including microcoria (small pupils that are not responsive to light). Most affected children have early-onset, chronic renal failure; neurodevelopmental problems; and blindness. Hypotonia (poor muscle tone) and movement disorders have also been reported. Pierson syndrome is caused by changes (mutations) in the LAMB2 gene and is inherited in an autosomal recessive manner. The long-term outlook is poor; affected infants may not survive past the first weeks or months of life.",GARD,Pierson syndrome
What are the treatments for focal dermal hypoplasia ?,These resources address the diagnosis or management of focal dermal hypoplasia:  - Gene Review: Gene Review: Focal Dermal Hypoplasia  - Genetic Testing Registry: Focal dermal hypoplasia  - MedlinePlus Encyclopedia: Ectodermal dysplasia  - MedlinePlus Encyclopedia: Omphalocele   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,focal dermal hypoplasia
Do you have information about Cervical Cancer Screening,"Summary : The cervix is the lower part of the uterus, the place where a baby grows during pregnancy. Cancer screening is looking for cancer before you have any symptoms. Cancer found early may be easier to treat.    Cervical cancer screening is usually part of a woman's health checkup. There are two types of tests: the Pap test and the HPV test. For both, the doctor or nurse collects cells from the surface of the cervix. With the Pap test, the lab checks the sample for cancer cells or abnormal cells that could become cancer later. With the HPV test, the lab checks for HPV infection. HPV is a virus that spreads through sexual contact. It can sometimes lead to cancer. If your screening tests are abnormal, your doctor may do more tests, such as a biopsy.    Cervical cancer screening has risks. The results can sometimes be wrong, and you may have unnecessary follow-up tests. There are also benefits. Screening has been shown to decrease the number of deaths from cervical cancer. You and your doctor should discuss your risk for cervical cancer, the pros and cons of the screening tests, at what age to start being screened, and how often to be screened.",MPlusHealthTopics,Cervical Cancer Screening
Is sickle cell disease inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,sickle cell disease
What are the symptoms of Hyperkalemic periodic paralysis ?,"What are the signs and symptoms of Hyperkalemic periodic paralysis? The Human Phenotype Ontology provides the following list of signs and symptoms for Hyperkalemic periodic paralysis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cerebral palsy 90% EMG abnormality 90% Gait disturbance 50% Hyperkalemia 50% Involuntary movements 50% Myalgia 50% Myotonia 50% Arrhythmia 7.5% Bowel incontinence 7.5% Chest pain 7.5% Congestive heart failure 7.5% Feeding difficulties in infancy 7.5% Flexion contracture 7.5% Hypertonia 7.5% Hypokalemia 7.5% Hyponatremia 7.5% Malignant hyperthermia 7.5% Myopathy 7.5% Ophthalmoparesis 7.5% Paresthesia 7.5% Respiratory insufficiency 7.5% Skeletal muscle atrophy 7.5% Skeletal muscle hypertrophy 7.5% Autosomal dominant inheritance - Episodic flaccid weakness - Infantile onset - Periodic hyperkalemic paralysis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Hyperkalemic periodic paralysis
How many people are affected by Schinzel-Giedion syndrome ?,"Schinzel-Giedion syndrome is very rare, although the exact prevalence is unknown.",GHR,Schinzel-Giedion syndrome
How many people are affected by Acquired Cystic Kidney Disease ?,"Acquired cystic kidney disease becomes more common the longer a person has CKD.
                
- About 7 to 22 percent of people with CKD already have acquired cystic kidney disease before starting dialysis treatments.  - Almost 60 percent of people on dialysis for 2 to 4 years develop acquired cystic kidney disease.1  - About 90 percent of people on dialysis for 8 years develop acquired cystic kidney disease.1",NIDDK,Acquired Cystic Kidney Disease
What are the treatments for Brody myopathy ?,These resources address the diagnosis or management of Brody myopathy:  - Genetic Testing Registry: Brody myopathy  - New York Presbyterian Hospital: Myopathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Brody myopathy
What is (are) SYNGAP1-related intellectual disability ?,"SYNGAP1-related intellectual disability is a neurological disorder characterized by moderate to severe intellectual disability that is evident in early childhood. The earliest features are typically delayed development of speech and motor skills, such as sitting, standing, and walking. Many people with this condition have weak muscle tone (hypotonia), which contributes to the difficulty with motor skills. Some affected individuals lose skills they had already acquired (developmental regression). Other features of SYNGAP1-related intellectual disability include recurrent seizures (epilepsy), hyperactivity, and autism spectrum disorders, which are conditions characterized by impaired communication and social interaction; almost everyone with SYNGAP1-related intellectual disability develops epilepsy, and about half have an autism spectrum disorder.",GHR,SYNGAP1-related intellectual disability
How to diagnose Hemochromatosis ?,"Health care providers use medical and family history, a physical exam, and routine blood tests to diagnose hemochromatosis or other conditions that could cause the same symptoms or complications.
                
- Medical and family history. Taking a medical and family history is one of the first things a health care provider may do to help diagnose hemochromatosis. The health care provider will look for clues that may indicate hemochromatosis, such as a family history of arthritis or unexplained liver disease.    - Physical exam. After taking a medical history, a health care provider will perform a physical exam, which may help diagnose hemochromatosis. During a physical exam, a health care provider usually      - examines a patients body    - uses a stethoscope to listen to bodily sounds    - taps on specific areas of the patients body      - Blood tests. A blood test involves drawing blood at a health care providers office or a commercial facility and sending the sample to a lab for analysis. Blood tests can determine whether the amount of iron stored in the body is higher than normal:1      - The transferrin saturation test shows how much iron is bound to the protein that carries iron in the blood. Transferrin saturation values above or equal to 45 percent are considered abnormal.    - The serum ferritin test detects the amount of ferritina protein that stores ironin the blood. Levels above 300 g/L in men and 200 g/L in women are considered abnormal. Levels above 1,000 g/L in men or women indicate a high chance of iron overload and organ damage.    If either test shows higher-than-average levels of iron in the body, health care providers can order a special blood test that can detect two copies of the C282Y mutation to confirm the diagnosis. If the mutation is not present, health care providers will look for other causes.    - Liver biopsy. Health care providers may perform a liver biopsy, a procedure that involves taking a piece of liver tissue for examination with a microscope for signs of damage or disease. The health care provider may ask the patient to temporarily stop taking certain medications before the liver biopsy. The health care provider may ask the patient to fast for 8 hours before the procedure.  During the procedure, the patient lies on a table, right hand resting above the head. The health care provider applies a local anesthetic to the area where he or she will insert the biopsy needle. If needed, a health care provider will also give sedatives and pain medication. The health care provider uses a needle to take a small piece of liver tissue. He or she may use ultrasound, computerized tomography scans, or other imaging techniques to guide the needle. After the biopsy, the patient must lie on the right side for up to 2 hours and is monitored an additional 2 to 4 hours before being sent home.  A health care provider performs a liver biopsy at a hospital or an outpatient center. The health care provider sends the liver sample to a pathology lab where the pathologista doctor who specializes in diagnosing diseaselooks at the tissue with a microscope and sends a report to the patients health care provider. The biopsy shows how much iron has accumulated in the liver and whether the patient has liver damage.
                
Hemochromatosis is rare, and health care providers may not think to test for this disease. Thus, the disease is often not diagnosed or treated. The initial symptoms can be diverse, vague, and similar to the symptoms of many other diseases. Health care providers may focus on the symptoms and complications caused by hemochromatosis rather than on the underlying iron overload. However, if a health care provider diagnoses and treats the iron overload caused by hemochromatosis before organ damage has occurred, a person can live a normal, healthy life.
                

                
Who should be tested for hemochromatosis?   Experts recommend testing for hemochromatosis in people who have symptoms, complications, or a family history of the disease.   Some researchers have suggested widespread screening for the C282Y mutation in the general population. However, screening is not cost-effective. Although the C282Y mutation occurs quite frequently, the disease caused by the mutation is rare, and many people with two copies of the mutation never develop iron overload or organ damage.   Researchers and public health officials suggest the following:   - Siblings of people who have hemochromatosis should have their blood tested to see if they have the C282Y mutation.   - Parents, children, and other close relatives of people who have hemochromatosis should consider being tested.   - Health care providers should consider testing people who have severe and continuing fatigue, unexplained cirrhosis, joint pain or arthritis, heart problems, erectile dysfunction, or diabetes because these health issues may result from hemochromatosis.",NIDDK,Hemochromatosis
What is (are) Parasites - Echinococcosis ?,"Frequently Asked Questions (FAQs)
    
Cystic echinococcosis (CE) disease results from being infected with the larval stage of Echinococcus granulosus, a tiny tapeworm (~2-7 millimeters in length) found in dogs (definitive host), sheep, cattle, goats, foxes, and pigs, amongst others (intermediate hosts). Most infections in humans are asymptomatic, but CE, also known as hydatid disease, causes slowly enlarging masses, most commonly in the liver and the lungs. Treatment can involve both medication and surgery.
    
More on: Cystic Echinococcosis (CE) FAQs
    
Alveolar echinococcosis (AE) disease results from being infected with the larval stage of Echinococcus multilocularis, a tiny tapeworm (~1-4 millimeters in length) found in foxes, coyotes, dogs, and cats (definitive hosts). Although human cases are rare, infection in humans causes parasitic tumors to form in the liver, and, less commonly, the lungs, brain, and other organs. If left untreated, infection with AE can be fatal.
    
More on: Alveolar Echinococcosis (AE) FAQs",CDC,Parasites - Echinococcosis
"What are the symptoms of Chondrodysplasia with joint dislocations, GPAPP type ?","What are the signs and symptoms of Chondrodysplasia with joint dislocations, GPAPP type? The Human Phenotype Ontology provides the following list of signs and symptoms for Chondrodysplasia with joint dislocations, GPAPP type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Brachydactyly syndrome - Coronal craniosynostosis - Flat face - Genu valgum - Hearing impairment - High forehead - Narrow mouth - Patellar dislocation - Proptosis - Short foot - Short metacarpal - Short nose - Short stature - Short toe - Wide nasal bridge - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,"Chondrodysplasia with joint dislocations, GPAPP type"
Is juvenile hyaline fibromatosis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,juvenile hyaline fibromatosis
What are the treatments for Progressive multifocal leukoencephalopathy ?,"How might progressive multifocal leukoencephalopathy (PML) be treated? Currently, the best available therapy is reversal of the immune-deficient state. This can sometimes be accomplished by alteration of chemotherapy or immunosuppression. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals.",GARD,Progressive multifocal leukoencephalopathy
What to do for Polycystic Kidney Disease ?,"- Polycystic kidney disease (PKD) is a genetic disorder that causes numerous cysts to grow in the kidneys.  - A gene mutation, or defect, causes polycystic kidney disease.  - Autosomal dominant PKD is the most common form of PKD and the most common inherited disorder of the kidneys.  - Health care providers identify most cases of autosomal dominant PKD between the ages of 30 and 50.  - The most common symptoms of PKD are pain in the back and sidesbetween the ribs and hipsand headaches. The pain can be temporary or persistent, mild or severe. Hematuriablood in the urinemay also be a sign of autosomal dominant PKD.  - The complications of autosomal dominant PKD include the following:      - pain    - high blood pressure    - kidney failure    - urinary tract infections (UTIs)    - kidney stones    - liver cysts    - pancreatic cysts    - abnormal heart valves    - diverticula    - brain aneurysms    - A health care provider diagnoses autosomal dominant PKD using imaging tests and genetic testing.  - A radiologista doctor who specializes in medical imagingwill interpret the images produced by the following imaging tests:      - ultrasound    - computerized tomography scans    - magnetic resonance imaging    - Genetic testing can show whether a persons cells carry a gene mutation that causes autosomal dominant PKD. A health care provider may also use genetic testing results to determine whether someone with a family history of PKD is likely to develop the disorder in the future. Prenatal testing can diagnose autosomal recessive PKD in unborn children.  - Although a cure for autosomal dominant PKD is not currently available, treatment can ease symptoms and prolong life.  - Autosomal recessive PKD is a rare genetic disorder that affects the liver as well as the kidneys.  - The complications of autosomal recessive PKD include the following:      - death due to breathing problems    - kidney failure    - liver scarring    - high blood pressure    - UTIs    - A health care provider diagnoses autosomal recessive PKD with ultrasound imaging, even in a fetus or newborn.  - Treatments for autosomal recessive PKD focus on the symptoms and complications.  - Scientists have not yet found a way to prevent PKD. However, people with PKD may slow the progression of kidney damage caused by high blood pressure through lifestyle changes, diet, and blood pressure medications.  - People with any kind of kidney disease, including PKD, should talk with a dietitian about foods they should add to their diet and foods that might be harmful.",NIDDK,Polycystic Kidney Disease
How many people are affected by systemic lupus erythematosus ?,"For unknown reasons, in industrialized Western countries SLE has become 10 times more common over the past 50 years. While estimates of its prevalence vary, SLE is believed to affect 14.6 to 68 per 100,000 people in the United States, with females developing SLE more often than males. It is most common in younger women; however, 20 percent of SLE cases occur in people over age 50. Because many of the signs and symptoms of SLE resemble those of other disorders, diagnosis may be delayed for years, and the condition may never be diagnosed in some affected individuals.  In industrialized Western countries, people of African and Asian descent are two to four times more likely to develop SLE than are people of European descent. However, while the prevalence of SLE in Africa and Asia is unknown, it is believed to be much lower than in Western nations. Researchers suggest that factors such as ethnic mixing, tobacco use in industrialized countries, and the different types of infections people acquire in different regions may help account for the discrepancy. For example malaria, which occurs often in tropical regions, is thought to be protective against SLE, while the Epstein-Barr virus, more common in the West, increases SLE risk.",GHR,systemic lupus erythematosus
